2014-11-07 17:40:09,243 | DEBUG | main                              | Created Data [emdNumber=6074560000262]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000037]
2014-11-07 17:40:09,243 | DEBUG | main                              | Created Data [emdNumber=6074560000263]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000143]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000586]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000144]
2014-11-07 17:40:09,243 | DEBUG | main                              | Created Data [emdNumber=6074560000264]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000038]
2014-11-07 17:40:09,243 | DEBUG | main                              | Created Data [emdNumber=6074560000265]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000145]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000587]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000146]
2014-11-07 17:40:09,243 | DEBUG | main                              | Created Data [emdNumber=6074560000266]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000039]
2014-11-07 17:40:09,243 | DEBUG | main                              | Created Data [emdNumber=6074560000267]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000147]
